,image_path,Sampling_Date,State,Species,Pre_GSHH_NDVI,Height_Ave_cm,Dry_Clover_g,Dry_Dead_g,Dry_Green_g,Dry_Total_g,GDM_g
0,train/ID1011485656.jpg,2015/9/4,Tas,Ryegrass_Clover,0.62,4.6667,0.0,31.9984,16.2751,48.2735,16.275
1,train/ID1012260530.jpg,2015/4/1,NSW,Lucerne,0.55,16.0,0.0,0.0,7.6,7.6,7.6
2,train/ID1025234388.jpg,2015/9/1,WA,SubcloverDalkeith,0.38,1.0,6.05,0.0,0.0,6.05,6.05
3,train/ID1028611175.jpg,2015/5/18,Tas,Ryegrass,0.66,5.0,0.0,30.9703,24.2376,55.2079,24.2376
4,train/ID1035947949.jpg,2015/9/11,Tas,Ryegrass,0.54,3.5,0.4343,23.2239,10.5261,34.1844,10.9605
5,train/ID1036339023.jpg,2015/9/30,Vic,Phalaris_Clover,0.82,7.0,23.0755,2.6135,32.191,57.88,55.2665
6,train/ID1049634115.jpg,2015/7/2,Vic,Ryegrass_Clover,0.72,2.0,1.5083,3.0167,13.575,18.1,15.0833
7,train/ID1051144034.jpg,2015/9/1,WA,SubcloverLosa,0.8,1.0,55.32,0.0,0.0,55.32,55.32
8,train/ID1052620238.jpg,2015/5/18,Tas,Ryegrass,0.68,5.0,0.0,11.2291,20.1707,31.3998,20.1707
9,train/ID105271783.jpg,2015/6/30,Vic,Phalaris_Clover,0.86,4.0,5.2698,8.5635,27.6667,41.5,32.9365
10,train/ID1053972079.jpg,2015/9/4,Tas,Clover,0.56,2.5,21.0801,7.9393,1.3688,30.3882,22.4489
11,train/ID1058383417.jpg,2015/5/19,Tas,Ryegrass_Clover,0.62,2.0,0.1,9.5,13.1,22.7,13.2
12,train/ID1062837331.jpg,2015/9/29,Vic,Ryegrass_Clover,0.82,9.0,19.98,3.9623,35.4077,59.35,55.3877
13,train/ID1070112260.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.6,6.0,0.0,9.8765,22.1235,32.0,22.1235
14,train/ID1078930021.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.86,5.0,0.0,5.0189,32.9811,38.0,32.9811
15,train/ID1084819986.jpg,2015/9/4,Tas,Clover,0.69,3.1667,21.4551,13.0742,2.6819,37.2112,24.137
16,train/ID1088965591.jpg,2015/4/1,NSW,Lucerne,0.89,43.0,0.0,0.3443,59.5557,59.9,59.5557
17,train/ID1098771283.jpg,2015/11/9,Tas,Clover,0.48,2.6667,8.376,15.1673,0.4528,23.9961,8.8287
18,train/ID1103883611.jpg,2015/2/24,NSW,Phalaris,0.48,26.0,0.0,12.9166,82.7834,95.7,82.7834
19,train/ID1108283583.jpg,2015/8/19,Vic,Phalaris_Ryegrass_Clover,0.83,5.5,5.773,7.2162,40.4108,53.4,46.1838
20,train/ID1113121340.jpg,2015/9/30,Vic,Phalaris_Clover,0.8,16.0,0.2931,11.6271,82.6598,94.58,82.9529
21,train/ID1113329413.jpg,2015/6/29,Tas,WhiteClover,0.72,3.0,20.6523,21.1112,1.3768,43.1403,22.0291
22,train/ID1119739385.jpg,2015/5/18,Tas,Ryegrass,0.28,4.0,0.0,3.0,6.8,9.8,6.8
23,train/ID1119761112.jpg,2015/5/7,NSW,Fescue,0.42,4.0,0.0,32.4486,22.9514,55.4,22.9514
24,train/ID1121692672.jpg,2015/2/24,NSW,Phalaris,0.52,38.0,0.0,1.3958,109.8042,111.2,109.8042
25,train/ID1127246618.jpg,2015/5/18,Tas,Ryegrass,0.77,7.0,3.0196,25.8824,32.3529,61.2549,35.3725
26,train/ID112966473.jpg,2015/8/14,Vic,Ryegrass_Clover,0.74,3.0,11.2,2.8,19.6,33.6,30.8
27,train/ID1131079710.jpg,2015/11/9,Tas,Clover,0.57,1.5,15.4794,11.119,1.5261,28.1246,17.0055
28,train/ID1136169672.jpg,2015/5/18,Tas,Ryegrass,0.62,5.0,0.0,6.808,16.3107,23.1187,16.3108
29,train/ID1139866256.jpg,2015/5/7,NSW,Fescue,0.66,13.0,0.0,83.8407,74.0593,157.9,74.0593
30,train/ID1139918758.jpg,2015/8/21,WA,Clover,0.79,3.0,58.34,0.0,0.0,58.34,58.34
31,train/ID1140993511.jpg,2015/8/14,Vic,Ryegrass_Clover,0.71,2.0,4.6,2.3,16.1,23.0,20.7
32,train/ID1148528732.jpg,2015/8/18,Vic,Phalaris_Clover,0.86,3.2,12.4113,0.0,28.0887,40.5,40.5
33,train/ID1148666289.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.81,3.5,4.0923,14.3231,21.4846,39.9,25.5769
34,train/ID1149598723.jpg,2015/5/7,NSW,Lucerne,0.87,43.0,0.0,5.3831,58.3169,63.7,58.3169
35,train/ID1159071020.jpg,2015/9/30,Vic,Phalaris_Clover,0.74,7.0,1.3191,6.7982,46.5727,54.69,47.8918
36,train/ID1163061745.jpg,2015/6/29,Tas,WhiteClover,0.5,2.0,5.2,6.7,1.2,13.1,6.4
37,train/ID1168534540.jpg,2015/5/7,NSW,Fescue,0.86,9.0,0.0,8.6892,55.6108,64.3,55.6108
38,train/ID1176292407.jpg,2015/6/26,Tas,Ryegrass_Clover,0.5,3.0,0.1308,16.7365,9.022,25.8893,9.1528
39,train/ID1182523622.jpg,2015/6/29,Tas,WhiteClover,0.48,2.0,3.1059,14.7193,0.6752,18.5004,3.7811
40,train/ID1183807388.jpg,2015/7/1,Tas,Ryegrass,0.7,5.0,0.0,20.9156,20.9156,41.8312,20.9156
41,train/ID1193692654.jpg,2015/9/11,Tas,Ryegrass,0.69,3.1667,0.2727,6.3317,13.4232,20.0276,13.6959
42,train/ID1199150612.jpg,2015/11/10,Tas,Ryegrass_Clover,0.62,5.5,0.3602,40.7019,27.0146,68.0767,27.3748
43,train/ID1208644039.jpg,2015/7/1,Vic,Phalaris_Clover,0.79,5.0,1.55,7.75,31.0,40.3,32.55
44,train/ID1211362607.jpg,2015/2/24,NSW,Ryegrass,0.58,7.0,0.0,1.3446,66.5554,67.9,66.5554
45,train/ID121331988.jpg,2015/5/7,NSW,Fescue,0.75,8.0,0.0,21.05,63.15,84.2,63.15
46,train/ID1215977190.jpg,2015/5/18,Tas,Ryegrass,0.74,5.0,0.4068,24.8123,30.1002,55.3193,30.507
47,train/ID1217108125.jpg,2015/6/29,Tas,WhiteClover,0.62,2.0,5.9027,8.0594,0.6811,14.6432,6.5838
48,train/ID1237349078.jpg,2015/10/13,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.38,2.5,3.189,26.221,9.39,38.8,12.579
49,train/ID12390962.jpg,2015/5/18,Tas,Ryegrass,0.56,5.0,0.0,15.2,14.0,29.2,14.0
50,train/ID1244346858.jpg,2015/10/6,NSW,Fescue,0.45,12.3333,0.0,30.9343,49.2657,80.2,49.2657
51,train/ID1249094008.jpg,2015/6/26,Vic,Ryegrass,0.71,4.0,0.0,16.3603,4.5809,20.9412,4.5809
52,train/ID1251029854.jpg,2015/5/7,NSW,Fescue,0.55,5.0,0.0,22.0875,36.8125,58.9,36.8125
53,train/ID1254829053.jpg,2015/6/26,Vic,Ryegrass,0.69,4.5,0.0,10.2162,4.2568,14.473,4.2568
54,train/ID1268934251.jpg,2015/10/13,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.42,3.3,0.0,24.7869,17.2131,42.0,17.2131
55,train/ID1275072698.jpg,2015/1/15,NSW,Lucerne,0.74,42.0,0.0,2.5,62.0,64.5,62.0
56,train/ID1277756619.jpg,2015/7/1,Tas,Ryegrass,0.4,3.0,0.0,3.2,6.0,9.2,6.0
57,train/ID1291116815.jpg,2015/7/2,Vic,Ryegrass_Clover,0.76,3.0,1.24,3.72,19.84,24.8,21.08
58,train/ID1294770420.jpg,2015/11/9,Tas,Ryegrass_Clover,0.59,3.3333,17.3814,36.1534,14.6004,68.1352,31.9818
59,train/ID1314135397.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.75,6.0,0.0,16.6678,28.0322,44.7,28.0322
60,train/ID13162390.jpg,2015/8/14,Vic,Ryegrass_Clover,0.74,3.0,2.8667,2.8667,20.0667,25.8,22.9333
61,train/ID1337107565.jpg,2015/8/21,WA,Clover,0.39,1.0,10.04,0.0,0.0,10.04,10.04
62,train/ID1343327476.jpg,2015/8/14,Vic,Phalaris_Clover,0.71,5.0,3.1429,3.1429,37.7143,44.0,40.8571
63,train/ID1345375788.jpg,2015/6/26,Tas,Ryegrass_Clover,0.6,3.0,2.3762,7.7226,8.7127,18.8115,11.0889
64,train/ID135365668.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.74,3.0,2.4,1.8667,17.3333,21.6,19.7333
65,train/ID1354190372.jpg,2015/11/10,Tas,Ryegrass_Clover,0.67,3.0,11.2565,6.5255,10.6039,28.3859,21.8604
66,train/ID1357758282.jpg,2015/1/15,NSW,Lucerne,0.77,62.0,0.0,4.8,107.3,112.1,107.3
67,train/ID1357768767.jpg,2015/2/25,NSW,Fescue,0.68,15.0,0.0,5.4497,104.1503,109.6,104.1503
68,train/ID1370004842.jpg,2015/10/6,NSW,Fescue,0.55,9.6667,0.0,21.9986,55.8014,77.8,55.8014
69,train/ID1374789439.jpg,2015/7/1,Vic,Phalaris_Clover,0.74,4.0,1.3556,1.3556,21.6889,24.4,23.0444
70,train/ID1385921939.jpg,2015/5/7,NSW,Lucerne,0.79,32.0,0.0,6.8243,43.6757,50.5,43.6757
71,train/ID1386202352.jpg,2015/5/19,Tas,Ryegrass_Clover,0.86,5.0,0.0,12.1549,35.0834,47.2383,35.0834
72,train/ID1395011773.jpg,2015/10/13,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.52,3.2,10.0895,11.9667,13.8438,35.9,23.9333
73,train/ID1403078396.jpg,2015/9/4,Tas,Clover,0.42,2.3333,5.3,8.3,1.5,15.1,6.8
74,train/ID1403107574.jpg,2015/8/21,WA,Clover,0.54,1.0,22.69,0.0,0.0,22.69,22.69
75,train/ID1411613934.jpg,2015/10/13,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.49,3.3,6.8937,17.8286,16.8777,41.6,23.7714
76,train/ID141370843.jpg,2015/8/14,Vic,Ryegrass_Clover,0.72,4.0,5.6182,5.6182,19.6636,30.9,25.2818
77,train/ID1413758094.jpg,2015/9/4,Tas,Ryegrass_Clover,0.54,5.0,0.8746,46.0532,17.5601,64.4879,18.4347
78,train/ID1414371018.jpg,2015/11/10,Tas,Ryegrass_Clover,0.72,3.1667,14.7281,6.1901,12.3801,33.2982,27.1082
79,train/ID1415329644.jpg,2015/4/1,NSW,Lucerne,0.83,38.0,0.0,0.0,63.3,63.3,63.3
80,train/ID1421714468.jpg,2015/9/4,Tas,Ryegrass_Clover,0.85,4.5,0.0,36.581,26.6001,63.1811,26.6
81,train/ID142751858.jpg,2015/9/29,Vic,Ryegrass_Clover,0.81,5.0,15.3953,2.417,33.2077,51.02,48.603
82,train/ID1428837636.jpg,2015/6/29,Tas,WhiteClover,0.7,3.0,10.1663,19.1366,3.8871,33.1901,14.0535
83,train/ID1437386574.jpg,2015/9/30,Vic,Phalaris_Clover,0.75,6.0,5.0001,3.7122,44.1677,52.88,49.1678
84,train/ID1444674500.jpg,2015/7/8,WA,Clover,0.43,1.0,11.64,0.0,3.5,15.14,15.14
